barkod;eski_ad;yeni_ad
NBB116;Zirkon Taşlı Yıldız Figürlü Gold Çelik Bileklik;Yıldız Bileklik
NBY028;Aurelia Silver Kaplama Minimal Kadın Yüzük Ayarlanabilir Zarif Tasarım;Aurelia Minimal Yüzük — Silver
NBK142;Erkek Çelik Kolye 60 cm;Erkek Kolye
NBK165-7;Balon Gümüş Renk Çelik Harf Kolye;Balon Harf Kolye — Silver
NBKP092-1;Oval Vintage Tasarım Kadın Küpe;Oval Vintage Küpe
NBK137;Erkek Çelik Büyük Kolye 60 cm;Erkek Büyük Kolye
NBB111;Romantik Ay & Yıldız Figürlü Taş Detaylı Zarif Bileklik;Romantik Ay & Yıldız Bileklik
NBKP005;Çelik Halka Küpe Gold Büyük;Büyük Halka Küpe
NBK022;Çelik Kolye Gold 45cm;Kolye 45 cm — Gold
NBY012;Gümüş Renk Pembe Zirkon Taş Kalp Charm Model Yüzük;Kalp Charm Yüzük
NBKP018;Çelik Tragus Küpe Silver;Tragus Küpe
NBKP042;Pirinç Gold Renk Zirkon Taşlı Kare Zincir Model Kıkırdak Küpe;Kare Zincir Küpe
NBK141;Erkek Çelik Kolye 60 cm;Erkek Kolye
NBKP051;316L Çelik Gold Renk Zirkon Taşlı Kelebek Figürlü Küpe Seti;Kelebek Küpe Set
NBKP016;Çelik Tragus Küpe Silver;Tragus Küpe
NBK139;Erkek Çelik Kolye 60 cm;Erkek Kolye
NBK086;Zirkon Taşlı Kolye Silver 45 cm;Kolye 45 cm — Silver
NBY007;Gold Renk Manifest Figürlü Yüzük;Manifest Yüzük
NBK116;Çelik Kırmızı Dört Yaprak Figürlü Kolye Gold;Dört Yaprak Kolye
NBB073-1;Yeşil Krem Renk Detaylı Mineli Kelepçe;Yeşil Krem Kelepçe
NBK075;316L Çelik Zirkon Taşlı Güneş Ve Ay Model Gold Renk Kolye;Güneş Ay Kolye — Gold
NBK112;Çelik Beyaz Dört Yaprak Figürlü Kolye Silver;Dört Yaprak Kolye
NBB031;Erkek Çelik Bileklik 19 cm;Erkek Bileklik
NBKP004;Çelik Halka Küpe Gold Küçük;Küçük Halka Küpe — Gold
NBK164-13;Balon Gold Renk Çelik Harf Kolye;Balon Harf Kolye — Gold
NBB088;Çelik Arpa Model Bileklik Gold;Arpa Bileklik
NBB036;Erkek Çelik Bileklik 19 cm;Erkek Bileklik
