kod;kural;eski_ad;onerilen_ad
NBK048;marka adı çıkarılır;Tifany Zincir Kolye;Kilit Figürlü Sallantılı Kolye
NBK064;yazım düzeltmesi;Fotoğraf Makinası Kolye;Fotoğraf Makinesi Kolye
BKP036;"Pirinç" adlardan çıkarılır;Pirinç Halka Gümüş Sağ Kıkırdak Küpe;Gümüş Halka Kıkırdak Küpe
BKP039;uzun ad kısaltılır;Zirkon Taşlı Yıldız ve Ay Figürlü Gold 3’lü Küpe Seti;Yıldız Ay Küpe Seti
K169-1;uzun ad kısaltılır;Yıldız ve Güneş Zirkon Taşlı Sallantılı Çelik Gold Kolye;Yıldız Güneş Sallantılı Kolye
NBK153;uzun ad kısaltılır;Çelik Gold Zincir Mine Çiçek Zirkon Taş Kolye;Mineli Çiçek Zirkon Kolye
NBK052;uzun ad kısaltılır;Çelik Gold Zincir Mavi Mine İncili Çiçek Kolye;Mavi Mineli İnci Çiçek Kolye
NBB057;uzun ad kısaltılır;Çelik Zincir Mine Zirkon Taşlı Gezegen Gold Bileklik;Mineli Gezegen Bileklik
NBB053;uzun ad kısaltılır;Zirkon Taşlı Kelebek Ve Yıldız Gold Charm Bileklik;Kelebek Yıldız Charm Bileklik
NBK068;uzun ad kısaltılır;Çelik Gold Zincir Zirkon Taşlı Kuğu Kolye;Zirkon Taşlı Kuğu Kolye
NBP003;uzun ad kısaltılır;Çift Kristal Düz Piercing — Gold;Çift Kristal Piercing — Gold
NBP009;uzun ad kısaltılır;Çift Kristal Düz Piercing — Silver;Çift Kristal Piercing — Silver
NBY020;uzun ad kısaltılır;Gold Zirkon Taşlı Kalp İnci Yüzük;Zirkon Kalp İnci Yüzük
NBY023;uzun ad kısaltılır;Gümüş Kalp Yıldız Zirkon Taş Yüzük;Kalp Yıldız Zirkon Yüzük
NBK105;kısaltma gerekmiyor;Ay & Yıldız Kolye — Gold;(değişiklik yok — 24 karakter)
NBK106;kısaltma gerekmiyor;Ay & Yıldız Kolye — Silver;(değişiklik yok — 26 karakter)
