kod;grup;eski_ad;onerilen_ad;dayanak
BKP018;Tragus Küpe;Tragus Küpe;Çengelli İğne Tragus Küpe;görsel: çengelli iğne formu, renkli taşlar
BKP017;Tragus Küpe;Tragus Küpe;Kedi Figürlü Tragus Küpe;görsel: mavi gözlü kedi figürü
BKP013;Tragus Küpe;Tragus Küpe;Zirkon Çiçek Tragus Küpe;görsel: beş yapraklı zirkon çiçek
BKP015;Tragus Küpe;Tragus Küpe;Kabartma Çiçek Tragus Küpe;görsel: yuvarlak kabartma çiçek rozeti
NBK160;Zincir Çiçek Kolye;Zincir Çiçek Kolye;Mor Mineli Yuvarlak Çiçek Kolye;görsel: yuvarlak mor mine
NBK057;Zincir Çiçek Kolye;Zincir Çiçek Kolye;Mor Mineli Oval Çiçek Kolye;görsel: oval mor mine
NBK058;Zincir Çiçek Kolye;Zincir Çiçek Kolye;Pembe Mineli Çiçek Kolye;görsel: pembe-şeftali mine
NBB038;Erkek Bileklik;Erkek Bileklik;Erkek Siyah İnce Zincir Bileklik;görsel: siyah ince zincir
NBB029;Erkek Bileklik;Erkek Bileklik;Erkek Gümüş Örgü Bileklik;görsel: gümüş örgü zincir
NBB030;Erkek Bileklik;Erkek Bileklik;Erkek Siyah Gurmet Bileklik;görsel: siyah kalın gurmet
NBK103;Kolye 45 cm — Gold;Kolye 45 cm — Gold;Zirkon Yaprak Kolye;görsel: mekik/yaprak zirkon uç
NBK101;Kolye 45 cm — Gold;Kolye 45 cm — Gold;Zirkon Damla Kolye;görsel: küçük zirkon damla uç
NBK104;Kolye 45 cm — Gold;Kolye 45 cm — Gold;Zirkon Yuvarlak Madalyon Kolye;görsel: yuvarlak zirkon madalyon
NBK093;Kolye 45 cm;Kolye 45 cm;İşlemeli Damla Kolye;görsel: işlemeli büyük damla uç
NBK107;Kolye 45 cm;Kolye 45 cm;Tek İnci Kolye;görsel: tek inci + yan taşlar
NBK018;Kolye 45 cm;Kolye 45 cm;Kalp Formlu Kolye;görsel: içi boş kalp konturu
NBK043;Külçe Kolye;Külçe Kolye;UYGULANMADI (eski ad korundu);26 Ağu: 3 bağımsız görsel incelemesi ayırt edemedi — aynı plaka, aynı zincir
NBK042;Külçe Kolye;Külçe Kolye;UYGULANMADI (eski ad korundu);26 Ağu: 3 bağımsız görsel incelemesi ayırt edemedi — aynı plaka, aynı zincir
NBK041;Külçe Kolye;Külçe Kolye;UYGULANMADI (eski ad korundu);26 Ağu: 3 bağımsız görsel incelemesi ayırt edemedi — aynı plaka, aynı zincir
BKP087;Vintage Küpe;Vintage Küpe;İnci Vintage Küpe;görsel: beyaz inci + gold halka
BKP085;Vintage Küpe;Vintage Küpe;Siyah Taşlı Vintage Küpe;görsel: siyah oval taş + gold halka
BKP053;Vintage Küpe;Vintage Küpe;Burgu Vintage Küpe;görsel: sade gold burgu form
NBK124;Kolye — Gold;Kolye — Gold;Yonca Çift Sıra Kolye;görsel: yonca ucu + inci, iki sıra
NBK015;Kolye — Gold;Kolye — Gold;Kelebek Turkuaz Kolye;görsel: kelebek + turkuaz taşlar
NBK012;Kolye — Gold;Kolye — Gold;İnci Kalp Kolye;görsel: inci sıra + kalp ucu
NBK128;Kolye — Silver;Kolye — Silver;Yılan Zincir Kolye;görsel: uçsuz düz yılan zincir
NBK099;Kolye — Silver;Kolye — Silver;Zirkon Madalyon Kolye;görsel: küçük yuvarlak zirkon madalyon
NBK014;Kolye — Silver;Kolye — Silver;Nazar Kalp Çift Sıra Kolye;görsel: nazar kalp + turkuaz, iki sıra
BKP106;Çiçek Küpe;Çiçek Küpe;Beş Yapraklı Çiçek Küpe;görsel: heykelsi beş yaprak
BKP019;Çiçek Küpe;Çiçek Küpe;Zirkon Ortalı Çiçek Küpe;görsel: dört yaprak, ortası zirkon
