id;slug;kod;override_title_onceki;note_onceki;yeni_ad
e39ad74c-a125-4781-92e4-37e59267f8bd;celik-tragus-kupe-silver-BKP018;BKP018;Tragus Küpe;;Çengelli İğne Tragus Küpe
79851058-ec3b-4282-ba7a-ae727d428b00;celik-tragus-kupe-silver-BKP017;BKP017;Tragus Küpe;;Kedi Figürlü Tragus Küpe
5c2f9722-80da-416d-bc72-3b071d2a16af;celik-tragus-kupe-silver-BKP016;BKP017;Tragus Küpe;;Kedi Figürlü Tragus Küpe
3f842411-13c4-4386-a268-ef60ac488002;celik-tragus-kupe-silver-BKP014;BKP017;Tragus Küpe;;Kedi Figürlü Tragus Küpe
5d3c153d-799a-4da3-8220-42b380aefe7b;celik-tragus-kupe-silver-BKP013;BKP013;Tragus Küpe;;Zirkon Çiçek Tragus Küpe
8ff9fc00-9664-46a3-82d3-34772c5ab69a;celik-tragus-kupe-silver-BKP012;BKP013;Tragus Küpe;;Zirkon Çiçek Tragus Küpe
9ea28d3e-1ddd-4fe7-bed6-c399f8ea1dca;celik-tragus-kupe-silver-BKP015;BKP015;Tragus Küpe;;Kabartma Çiçek Tragus Küpe
5e15237f-dcc2-46a7-987c-d636126aad03;316l-celik-gold-renk-zincir-mor-mineli-incili-cicek-islemeli-NBK160;NBK160;Zincir Çiçek Kolye;;Mor Mineli Yuvarlak Çiçek Kolye
38ed488f-ee38-4722-b0e4-5e065dd19c70;316l-celik-gold-renk-zincir-mavi-mineli-cicek-islemeli-inci--NBK053;NBK057;Zincir Çiçek Kolye;;Mor Mineli Oval Çiçek Kolye
bdb8f47d-ad26-4953-a6ae-56e8d4fce64b;316l-celik-gold-renk-zincir-mor-mineli-cicek-islemeli-zirkon-NBK051;NBK057;Zincir Çiçek Kolye;;Mor Mineli Oval Çiçek Kolye
866d41c0-b5da-4081-946c-8b98da6f65e3;316l-celik-gold-renk-zincir-pembe-mineli-cicek-islemli-inci--NBK054;NBK057;Zincir Çiçek Kolye;;Mor Mineli Oval Çiçek Kolye
8cbe6114-5522-4741-84e3-cbc9ffd27685;316l-celik-gold-renk-zincir-mavi-mineli-cicek-islemeli-zirko-NBK050;NBK057;Zincir Çiçek Kolye;;Mor Mineli Oval Çiçek Kolye
f7f94241-55f5-4f65-9e72-caed5681b456;316l-celik-gold-renk-zincir-mineli-oval-incili-cicek-islemel-NBK057;NBK057;Zincir Çiçek Kolye;;Mor Mineli Oval Çiçek Kolye
09bb10e3-f178-4923-9c72-0d0bfe88796b;316l-celik-gold-renk-zincir-mineli-oval-incili-cicek-islemel-NBK058;NBK058;Zincir Çiçek Kolye;;Pembe Mineli Çiçek Kolye
0a846549-f3eb-4dc8-87b9-38d02477ee52;erkek-celik-bileklik-19-cm-NBB038;NBB038;Erkek Bileklik;;Erkek Siyah İnce Zincir Bileklik
578bad19-14e1-4076-b3fc-b87440af8349;erkek-celik-bileklik-19-cm-NBB027;NBB038;Erkek Bileklik;;Erkek Siyah İnce Zincir Bileklik
608a3568-3f07-426a-b25b-c54e95ee88b6;erkek-celik-bileklik-19-cm-NBB035;NBB038;Erkek Bileklik;;Erkek Siyah İnce Zincir Bileklik
6f909285-8329-47a7-b7b8-06327c1bc806;erkek-celik-bileklik-19-cm-NBB037;NBB038;Erkek Bileklik;;Erkek Siyah İnce Zincir Bileklik
faa9b4ad-89f1-4f0c-92a5-189b05af2863;erkek-celik-bileklik-19-cm-NBB040;NBB038;Erkek Bileklik;;Erkek Siyah İnce Zincir Bileklik
d5de393d-a99a-441e-bd01-1fcb1b902b37;erkek-celik-bileklik-19-cm-NBB032;NBB038;Erkek Bileklik;;Erkek Siyah İnce Zincir Bileklik
e1067059-9bb3-44f5-baee-b1faa5cad55d;erkek-celik-bileklik-19-cm-NBB036;NBB038;Erkek Bileklik;;Erkek Siyah İnce Zincir Bileklik
e1795093-3eb4-42a1-9cb2-bac5ec80fea5;erkek-celik-bileklik-19-cm-NBB028;NBB038;Erkek Bileklik;;Erkek Siyah İnce Zincir Bileklik
d34584dc-042d-4b77-947e-36112bfb2901;erkek-celik-bileklik-19-cm-NBB034;NBB038;Erkek Bileklik;;Erkek Siyah İnce Zincir Bileklik
98f59fad-af01-471a-a670-7be4eadcf462;erkek-celik-bileklik-19-cm-NBB031;NBB038;Erkek Bileklik;;Erkek Siyah İnce Zincir Bileklik
58013eff-4c54-4126-8718-c9ab12ef04d1;erkek-celik-bileklik-19-cm-NBB039;NBB038;Erkek Bileklik;;Erkek Siyah İnce Zincir Bileklik
b2860a10-4dc0-4b11-96f3-877ea6639288;erkek-celik-bileklik-19-cm-NBB029;NBB029;Erkek Bileklik;;Erkek Gümüş Örgü Bileklik
